id,name,occupation,contained_in_original_file
1088,Балунов Александр Валентинович,"рок-музыкант под псевдонимом «Балу», один из основателей хоррор-панк группы «Король и Шут»",yes
1089,Вырыпаев Иван Александрович,"режиссёр театра и кино, актёр, сценарист",yes
1090,Комиссаров Станислав Андреевич,уличный художник под псевдонимом «Слава ПТРК»,yes
1091,Чаниа Изида Терентьевна,"абхазская журналистка, главный редактор «Нужной газеты»",yes
1092,Шишкин Михаил Павлович,писатель-прозаик,yes
1093,Бровков Артём Андреевич,"диджей, музыкант под псевдонимом «Fuze Krec», участник хип-хоп проекта Krec",yes
1094,Черепанова Ксения Фёдоровна,председатель городского отделения партии «Яблоко» в Великом Новгороде,yes
1095,Шмурнов Александр Иванович,спортивный журналист и комментатор,yes
1096,Щербакова Ирина Лазаревна,"правозащитница, историк Нового времени, публицистка",yes
1097,Интернет-проект «Объектив»,,no
1098,Барабаш Екатерина Юрьевна,"журналистка, кинокритик",yes
1099,Губанов Алексей Александрович,"блогер, стример на платформе Twitch под псевдонимом «JesusAVGN»",yes
1100,Лушников Алексей Германович,"телеведущий, публицист, политический аналитик",yes
1101,Толстой Святослав Георгиевич,рок-музыкант под псевдонимом «Слава Толстой»,yes
1102,Издание «Гласная»,"социальный журналистский проект на русском языке, чьи публикации направлены на преодоление стереотипов и продвижение гендерного равноправия в российском обществе",yes
1103,Каретникова Анна Георгиевна,правозащитница,yes
1104,Козырев Андрей Владимирович,1-й министр иностранных дел Российской Федерации (1990–1996),yes
1105,Счастливая Дарья Владимировна,украинская журналистка,yes
1106,Эппле Николай Владимирович,литературный критик,yes
1107,Общественно-политическое движение «Удмуртия против коррупции»,,no
1108,Баблоян Ирина Арамовна,"журналистка, экс-ведущая радиостанции «Эхо Москвы»",yes
1109,Чистякова Мария Владимировна,блогер под псевдонимом «Мари Говори»,yes
1110,Ширяев Вячеслав Эдуардович,"предприниматель, продюсер, сценарист, режиссёр, журналист",yes
1111,Шпак Александр Константинович,фрик-блогер,yes
1112,Гончаров Василий Владимирович,музыкант под псевдонимом «Вася Обломов»,yes
1113,Сливяк Владимир Владимирович,"экологический активист, эксперт по атомной энергетике",yes
1114,Смагин Никита Анатольевич,"журналист, публицист",yes
1115,Сусолкин Константин Александрович,журналист под псевдонимом «Константин Березин»,yes
1116,Чернышёв Дмитрий Александрович,блогер под псевдонимом «mi3ch»,yes
1117,Зудиева Лутфие Ремзиевна,крымско-татарская журналистка,yes
1118,Комин Михаил Олегович,политолог,yes
1119,Лученко Ксения Валерьевна,"журналистка, публицистка, филолог",yes
1120,Пуркин Дмитрий Николаевич,блогер под псевдонимом «Дед Архимед»,yes
1121,Международная общественная организация «Независимая ассоциация врачей»,,no
