id;name;occupation;contained_in_original_file;area
904;Мовчан Андрей Андреевич;финансист, инвестор;yes;Финансист, инвестор
905;Мысина Оксана Анатольевна;актриса, режиссёр, радиоведущая;yes;Актриса, режиссер, радиоведущая
976;Налимова Елена Викторовна;журналистка, активистка;yes;Активист, журналист
945;Независимая литературная премия «ДАР»;международная премия в области русской литературы, организованная иноагентом Михаилом Шишкиным;yes;
854;Некрасов Дмитрий Александрович;экономист, экс-сотрудник Администрации президента России;yes;Экономист
924;Несмиян Анатолий Евгеньевич;публицист, блогер под псевдонимом «El Murid»;yes;Публицист
786;Новашов Андрей Валерьевич;журналист, автор в журнале «Театр»;yes;Журналист
;;;;
983;Новостной портал «DOXA»;новостной портал, созданный студентами Высшей школы экономики;yes;
916;Нюберг Дмитрий Сергеевич;блогер, стример, музыкант;yes;блогер, стример, музыкант
815;Обухов Герман Викторович;американский общественный и политический деятель, политический заключённый в СССР;yes;Общественный деятель, политический деятель
;;;;
851;Общественно-политическое движение «Европейский Петербург»;;no;
836;Общественно-политическое движение «Удмуртия против коррупции»;;no;
;;;;
894;Общественное движение «Наш выход»;общественное движение по поиску и возвращению домой военных ВС РФ;yes;
776;Общество с ограниченной ответственностью «АЛАЯ БУКВА»;;no;
;;;;
722;Общество с ограниченной ответственностью «Собеседник-Медиа»;общероссийская еженедельная общественно-политическая газета;yes;
;;;;
973;Общество с ограниченной ответственностью «ФОРПОСТ»;юридическое лицо, работающее в сфере юридических услуг;yes;
947;Овсянникова Марина Владимировна;бывшая тележурналистка «Первого канала», корреспондент немецкого издания «Die Welt»;yes;Журналист, корреспондент
898;Ольшевец Фелицата Дмитриевна;журналистка под псевдонимом «Маша Майерс»;yes;Журналист
981;Орлова Василина Александровна;поэтесса, публицистка;yes;Поэт, публицист
793;Осипова Светлана Витальевна;журналистка Радио «Свобода»;yes;Журналист
;;;;
756;Осмоловский Анатолий Феликсович;художник;yes;Художник
;;;;
860;Охотин Григорий Никитич;исследователь, журналист, один из основателей «ОВД-Инфо»;yes;Исследователь, журналист
794;Панюшкин Валерий Валерьевич;журналист, литератор, теле- и радиоведущий, сценарист;yes;Журналист, литератор, ведущий, сценарист
;;;;
802;Парменов Никита Владимирович;журналист;yes;Журналист
;;;;
871;Пивоваров Андрей Сергеевич;политик, экс-политический заключённый;yes;Политик
855;Пивоваров Юрий Сергеевич;историк, политолог;yes;Историк, политолог
965;Пичугин Александр Владимирович;журналист;yes;журналист
861;Поливанова Александра Владимировна;правозащитница;yes;Правозащитник
760;Полозов Николай Николаевич;адвокат;yes;Адвокат
;;;;
757;Поночевный Игорь Васильевич;художник под псевдонимом «Алёша Ступин»;yes;Художник
;;;;
892;Поташов Валерий Николаевич;журналист «Новой газеты»;yes;Журналист
781;Продайвода Алексей Владимирович;украинский журналист «Настоящего времени», военный корреспондент;yes;Журналист, корреспондент
;;;;
734;Проект «Ateo»;Telegram-канал;yes;
;;;;
918;Проект «Tamizdatproject.org»;проект, помогающий эмигрировавшим по политическим причинам студентам и учёным;yes;
917;Проект «Алиф ТВ»;проект, рассказывающий о жизни мусульман в России и странах СНГ;yes;
;;;;
1018;Проект «Говорит НеМосква»;;no;
;;;;
1068;Проект «Зона солидарности»;;no;
;;;;
1046;Проект «Идите лесом»;проект, помогающий уклоняться от мобилизации в России;yes;
;;;;
1033;Проект «Лаборатория университетской прозрачности»;;no;
935;Проект «Обманутый Россиянин»;YouTube-проект, рассказывающий о тёмной стороне жизни в России;yes;
783;Проект «Поддержка политзаключённых. Мемориал»;;no;
;;;;
907;Проект «Продолжение следует»;интернет-проект, рассказывающий о жизни знаменитых людей и их политических взглядах, основанный иноагентом Павлом Каныгиным;yes;
754;Проект «Радио Сахаров»;онлайн-радио и подкаст-платформа команды Сахаровского центра;yes;
;;;;
960;Проект «Сердитая Чувашия»;проект, рассказывающий жителям Чувашской республики о войне в Украине и составляющий список жертв из республики;yes;
;;;;
1039;Проект «Трансперенси Интернешнл-Россия в изгнании»;;no;
961;Проект «Усть-Кут24»;проект, рассказывающий актуальные новости Усть-Кута и Иркутской области в целом;yes;
;;;;
999;Проект «Центр «Досье»;;no;
968;Проект «Черта»;проект, изучающий темы насилия и неравенства в России;yes;
772;Прокопенко Александра Сергеевна;журналистка, эксперт по российской экономической политике;yes;Журналист
;;;;
944;Пронченко Зинаида Сергеевна;кинокритик, киновед, режиссёр, журналистка;yes;Кинокритик, режиссер, журналист
849;Пуркин Дмитрий Николаевич;блогер под псевдонимом «Дед Архимед»;yes;Блогер
;;;;
787;Раевский Владимир Евгеньевич;журналист, теле- и радиоведущий, продюсер;yes;Журналист
;;;;
862;Ракша Алексей Игоревич;независимый демограф, экс-советник демографических рассчётов Росстата;yes;Демограф
991;Распутин Ярослав Иванович;ЛГБТ-активист, журналист сайта «Парни Плюс»;yes;Активист, журналист
856;Рачинский Ян Збигневич;правозащитник, председатель правления общества «Мемориал»;yes;Правозащитник, председатель правления
899;Резник Наталья Рэмовна;поэтесса, переводчица с английского языка;yes;Поэт, переводчик
773;Ромалийская Ирина Геннадьевна;журналистка телеканала «Настоящее время»;yes;Журналист
;;;;
957;Росебашвили Нино Рамазовна;журналистка, блогер, бывшая сотрудница радиостанции «Эхо Москвы»;yes;Журналист, блогер
893;Росов Николай Вячеславович;блогер, стример;yes;Блогер, стример
774;Рубин Антон Борисович;журналист, соавтор YouTube-канала «Разворот»;yes;Журналист
;;;;
910;Рудников Игорь Петрович;бывший главный редактор газеты «Новые Колёса» и экс-депутат Калининградской областной думы;yes;Главный редактор, депутат
938;Рыковцева Елена Александровна;журналистка Радио «Свобода»;yes;Журналист
985;Савельев Александр Валерьевич;журналист издания «Протокол»;yes;Журналист
982;Савостьянов Евгений Вадимович;политический деятель, предприниматель;yes;Политический деятель, предприниматель
952;Садонин Василий Вячеславович;левый блогер;yes;Блогер
872;Секретарёва Наталия Михайловна;юрист из «Мемориала»;yes;Юрист
743;Серёгин Алексей Александрович;журналист;yes;Журналист
;;;;
949;Сетевой проект «I NEWS»;;no;
930;Сетевой проект «Om TV»;проект, специализирующийся на политических новостях и «острой аналитике»;yes;
906;Сивенок Андрей Александрович;блогер, журналист;yes;
857;Слабых Игорь Игоревич;юрист, американист;yes;Юрист, американист
842;Сливяк Владимир Владимирович;экологический активист, эксперт по атомной энергетике;yes;Активист
;;;;
843;Смагин Никита Анатольевич;журналист, публицист;yes;Журналист, публицист
;;;;
858;Смирнов Александр Александрович;поэт-перформер под псевдонимом «Александр Дельфинов»;yes;Поэт
927;Смолин Владимир Александрович;журналист;yes;Журналист
948;Солёнова Мария Сергеевна;бывший муниципальный депутат района Сокол от партии «Яблоко», организатор благотворительных проектов;yes;Депутат
878;Соломонов Артур Петрович;писатель, драматург, журналист, театральный критик;yes;Писатель, драматург, журналист, критик
911;Солонин Марк Семёнович;писатель, публицист, видеоблогер, исторический ревизионист;yes;Писатель, публицист, блогер
752;Становая Татьяна Анатольевна;политолог;yes;Политолог
;;;;
721;Степанов Олег Олегович;политик, координатор московского штаба Алексея Навального;yes;Политик
;;;;
928;Степанова Анна Васильевна;активистка;yes;Активист
879;Стомахин Борис Владимирович;публицист, получивший самый большой срок по 280-й и 282-й статьям УК РФ;yes;Публицист
788;Суворкин Антон Владимирович;эстонский блогер под псевдонимом «Anton S»;yes;Блогер
;;;;
958;Сулейманов Руслан Вахидович;востоковед;yes;Востоковед
844;Сусолкин Константин Александрович;журналист под псевдонимом «Константин Березин»;yes;Журналист
;;;;
859;Суханов Алексей Станиславович;украинский журналист (ранее — российский);yes;Журналист
789;Сухарев Дмитрий Вадимович;журналист-расследователь;yes;Журналист
;;;;
834;Счастливая Дарья Владимировна;украинская журналистка;yes;Журналист
;;;;
830;Толстой Святослав Георгиевич;рок-музыкант под псевдонимом «Слава Толстой»;yes;Музыкант
;;;;
933;Тополь Эдуард Владимирович;прозаик, кинорежиссёр, сценарист, драматург под псевдонимом «Эдмон Топельберг»;yes;прозаик, кинорежиссёр, сценарист, драматург
749;Ториев Магомед Идрисович;журналист, правозащитник;yes;Журналист, правозащитник
;;;;
900;Торстрём Ксения Владимировна;экс-муниципальный депутат округа Семёновский Санкт-Петербурга от партии «Яблоко»;yes;Депутат
746;Трещанин Дмитрий Евгеньевич;журналист, редактор «Медиазоны»;yes;Журналист, редактор
;;;;
888;Трикоз Евгений Сергеевич;комик, бывший участник команды КВН «Обычные люди», блогер;yes;Комик, блогер
953;Тухватуллин Тимур Артурович;сооснователь правозащитного проекта «Молния»;yes;Сооснователь
966;Уваров Алексей Константинович;историк;yes;историк
761;Узаров Хасан Ганиевич;блогер под псевдонимом «Хасан Халитов»;yes;Блогер
;;;;
725;Урушадзе Георгий Фридонович;журналист, книгоиздатель;yes;Журналист, издатель
;;;;
782;Федоровых Арина Эдуардовна;журналистка «Настоящего времени»;yes;Журналист
;;;;
863;Фельдман Евгений Олегович;фотограф, фотокорреспондент;yes;Фотограф
726;Фельштинский Юрий Георгиевич;историк;yes;Историк
;;;;
873;Фицнер Виолетта Юрьевна;юрист из «Мемориала» и «ОВД-Инфо»;yes;Юрист
969;Форум свободной культуры в Европе «СловоНово»;независимый фестиваль современной российской культуры, проводимый в Черногории;yes;
790;Фохт-Бабушкина Елизавета Антоновна;продюсер «Русской службы Би-би-си»;yes;Продюсер
;;;;
738;Хардин Антон Александрович;блогер;yes;Блогер
;;;;
812;Хашиг Инал Николаевич;абхазский журналист, политолог и общественный деятель, главный редактор газеты «Чегемская правда»;yes;Журналист, политолог, общественный деятель, главный редактор
;;;;
880;Хмелёв Александр Владимирович;ЛГБТ-активист;yes;Активист
901;Храмцов Дмитрий Александрович;блогер, бизнесмен;yes;Блогер, бизнесмен
820;Чаниа Изида Терентьевна;абхазская журналистка, главный редактор «Нужной газеты»;yes;Журналист, главный редактор
;;;;
823;Черепанова Ксения Фёдоровна;председатель городского отделения партии «Яблоко» в Великом Новгороде;yes;Председатель отделения партии
;;;;
864;Черкасов Александр Владимирович;журналист, правозащитник, экс-председатель совета правозащитного центра «Мемориал»;yes;Журналист, правозащитник, председатель совета
845;Чернышёв Дмитрий Александрович;блогер под псевдонимом «mi3ch»;yes;Блогер
;;;;
959;Чернышевский Дмитрий Викторович;историк, журналист, политический деятель, блогер под псевдонимом «Савромат»;yes;историк, журналист, политический деятель, блогер
967;Чижов Георгий Львович;политолог;yes;политолог
838;Чистякова Мария Владимировна;блогер под псевдонимом «Мари Говори»;yes;Блогер
;;;;
954;Шевцов Алексей Владиславович;бывший мэр Плёса;yes;Мэр
795;Шевченко Анастасия Нукзариевна;журналистка, первый осуждённый по делу об участии в нежелательной организации человек;yes;Журналист
;;;;
874;Шедов Денис Викторович;правозащитник, юрист из «Мемориала»;yes;Правозащитник, юрист
751;Шеин Олег Васильевич;общественный и политический деятель, депутат Государственной Думы III, IV, V, VI и VII созывов;yes;Общественный деятель, политический деятель, депутат
;;;;
796;Шейтельман Михаил;политтехнолог, бывший советник Бориса Березовского;yes;Технолог
;;;;
839;Ширяев Вячеслав Эдуардович;предприниматель, продюсер, сценарист, режиссёр, журналист;yes;Предприниматель, продюсер, сценарист, режиссер, журналист
;;;;
821;Шишкин Михаил Павлович;писатель-прозаик;yes;Писатель
;;;;
824;Шмурнов Александр Иванович;спортивный журналист и комментатор;yes;Журналист, комментатор
;;;;
840;Шпак Александр Константинович;фрик-блогер;yes;Блогер
;;;;
881;Шукшин Иван Алексеевич;веб-программист, член движения «Голос»;yes;Программист, член движения
934;Шумилова Ирина Вадимовна;левая активистка, феминистка;yes;Активист
825;Щербакова Ирина Лазаревна;правозащитница, историк Нового времени, публицистка;yes;Правозащитник, историк, публицист
;;;;
865;Экслер Алексей Борисович;писатель, блогер, кинокритик;yes;Писатель, блогер, кинокритик
835;Эппле Николай Владимирович;литературный критик;yes;Критик
;;;;
939;Эрлих Сергей Ефроимович;молдавский историк, публицист;yes;Историк, публицист
727;Эткинд Александр Маркович;культуролог, литературовед;yes;Культуролог, литературовед
;;;;
987;Янковский Аркадий Эдуардович;политик, депутат Государственной Думы II созыва;yes;Политик, депутат
