article_number;name;law_type
166;Неправомерное завладение автомобилем или иным транспортным средством;УК РФ
167;Умышленные уничтожение или повреждение имущества;УК РФ
168;Уничтожение или повреждение имущества по неосторожности;УК РФ
169;Воспрепятствование законной предпринимательской или иной деятельности;УК РФ
170;Регистрация незаконных сделок с недвижимым имуществом;УК РФ
170.1;Фальсификация единого государственного реестра юридических лиц, реестра владельцев ценных бумаг или системы депозитарного учета;УК РФ
170.2;Внесение заведомо ложных сведений в межевой план, технический план, акт обследования, проект межевания земельного участка или земельных участков либо карту-план территории;УК РФ
171;Незаконное предпринимательство;УК РФ
171.1;Производство, приобретение, хранение, перевозка или сбыт товаров и продукции без маркировки и (или) нанесения информации, предусмотренной законодательством Российской Федерации;УК РФ
171.2;Незаконные организация и проведение азартных игр;УК РФ
171.3;Незаконные производство и (или) оборот этилового спирта, алкогольной и спиртосодержащей продукции;УК РФ
171.4;Незаконная розничная продажа алкогольной и спиртосодержащей пищевой;УК РФ
172;Незаконная банковская деятельность;УК РФ
172.1;Фальсификация финансовых документов учета и отчетности финансовой организации;УК РФ
172.2;Организация деятельности по привлечению денежных средств и (или) иного имущества;УК РФ
172.3;Невнесение в финансовые документы учета и отчетности кредитной организации сведений о размещенных физическими лицами и индивидуальными предпринимателями денежных средствах;УК РФ
173;Утратила силу. - Федеральный закон от 07.04.2010 N 60-ФЗ.;УК РФ
173.1;Незаконное образование (создание, реорганизация) юридического лица;УК РФ
173.2;Незаконное использование документов для образования (создания, реорганизации) юридического лица;УК РФ
174;Легализация (отмывание) денежных средств или иного имущества, приобретенных другими лицами преступным путем;УК РФ
174.1;Легализация (отмывание) денежных средств или иного имущества, приобретенных лицом в результате совершения им преступления;УК РФ
175;Приобретение или сбыт имущества, заведомо добытого преступным путем;УК РФ
176;Незаконное получение кредита;УК РФ
177;Злостное уклонение от погашения кредиторской задолженности;УК РФ
178;Ограничение конкуренции;УК РФ
179;Принуждение к совершению сделки или к отказу от ее совершения;УК РФ
180;Незаконное использование средств индивидуализации товаров (работ, услуг);УК РФ
181;Нарушение правил изготовления и использования государственных пробирных клейм;УК РФ
182;Утратила силу. - Федеральный закон от 08.12.2003 N 162-ФЗ.;УК РФ
183;Незаконные получение и разглашение сведений, составляющих коммерческую, налоговую или банковскую тайну;УК РФ
184;Оказание противоправного влияния на результат официального спортивного соревнования или зрелищного коммерческого конкурса;УК РФ
185;Злоупотребления при эмиссии ценных бумаг;УК РФ
185.1;Злостное уклонение от раскрытия или предоставления информации, определенной законодательством Российской Федерации о ценных бумагах;УК РФ
185.2;Нарушение порядка учета прав на ценные бумаги;УК РФ
185.3;Манипулирование рынком;УК РФ
185.4;Воспрепятствование осуществлению или незаконное ограничение прав владельцев ценных бумаг;УК РФ
185.5;Фальсификация решения общего собрания акционеров (участников) хозяйственного общества или решения совета директоров (наблюдательного совета) хозяйственного общества;УК РФ
185.6;Неправомерное использование инсайдерской информации;УК РФ
186;Изготовление, хранение, перевозка или сбыт поддельных денег или ценных бумаг;УК РФ
187;Неправомерный оборот средств платежей;УК РФ
188;Утратила силу. - Федеральный закон от 07.12.2011 N 420-ФЗ.;УК РФ
189;Незаконные экспорт из Российской Федерации или передача сырья, материалов, оборудования, технологий, научно-технической информации, незаконное выполнение работ (оказание услуг), которые могут быть использованы при создании оружия массового поражения, вооружения и военной техники;УК РФ
190;Невозвращение на территорию Российской Федерации культурных ценностей;УК РФ
191;Незаконный оборот драгоценных металлов, природных драгоценных камней или жемчуга;УК РФ
191.1;Приобретение, хранение, перевозка, переработка в целях сбыта или сбыт заведомо незаконно заготовленной древесины;УК РФ
192;Нарушение правил сдачи государству драгоценных металлов и драгоценных камней;УК РФ
193;Уклонение от исполнения обязанностей по репатриации денежных средств в иностранной валюте или валюте Российской Федерации;УК РФ
193.1;Совершение валютных операций по переводу денежных средств в иностранной валюте или валюте Российской Федерации на счета нерезидентов с использованием подложных документов;УК РФ
194;Уклонение от уплаты таможенных платежей, взимаемых с организации или физического лица;УК РФ
195;Неправомерные действия при банкротстве;УК РФ
196;Преднамеренное банкротство;УК РФ
197;Фиктивное банкротство;УК РФ
198;Уклонение физического лица от уплаты налогов, сборов и (или) физического лица - плательщика страховых взносов от уплаты страховых взносов;УК РФ
199;Уклонение от уплаты налогов, сборов, подлежащих уплате организацией, и (или) страховых взносов, подлежащих уплате организацией - плательщиком страховых взносов;УК РФ
199.1;Неисполнение обязанностей налогового агента;УК РФ
199.2;Сокрытие денежных средств либо имущества организации или индивидуального предпринимателя, за счет которых должно производиться взыскание налогов, сборов, страховых взносов;УК РФ
199.3;Уклонение страхователя - физического лица от уплаты страховых взносов на обязательное социальное страхование от несчастных случаев на производстве и профессиональных заболеваний в государственный внебюджетный фонд;УК РФ
199.4;Уклонение страхователя-организации от уплаты страховых взносов на обязательное социальное страхование от несчастных случаев на производстве и профессиональных заболеваний в государственный внебюджетный фонд;УК РФ
200;Утратила силу. - Федеральный закон от 08.12.2003 N 162-ФЗ.;УК РФ
