article_number;name;law_type
285.1;Нецелевое расходование бюджетных средств;УК РФ
285.2;Нецелевое расходование средств государственных внебюджетных фондов;УК РФ
285.3;Внесение в единые государственные реестры заведомо недостоверных сведений;УК РФ
285.4;Злоупотребление должностными полномочиями при выполнении государственного оборонного заказа;УК РФ
286;Превышение должностных полномочий;УК РФ
286.1;Неисполнение сотрудником органа внутренних дел приказа;УК РФ
287;Отказ в предоставлении информации Федеральному Собранию Российской Федерации или Счетной палате Российской Федерации;УК РФ
288;Присвоение полномочий должностного лица;УК РФ
289;Незаконное участие в предпринимательской деятельности;УК РФ
290;Получение взятки;УК РФ
291;Дача взятки;УК РФ
291.1;Посредничество во взяточничестве;УК РФ
291.2;Мелкое взяточничество;УК РФ
292;Служебный подлог;УК РФ
292.1;Незаконная выдача паспорта гражданина Российской Федерации, а равно внесение заведомо ложных сведений в документы, повлекшее незаконное приобретение гражданства Российской Федерации;УК РФ
293;Халатность;УК РФ
294;Воспрепятствование осуществлению правосудия и производству предварительного расследования;УК РФ
295;Посягательство на жизнь лица, осуществляющего правосудие или предварительное расследование;УК РФ
296;Угроза или насильственные действия в связи с осуществлением правосудия или производством предварительного расследования;УК РФ
297;Неуважение к суду;УК РФ
298;Утратила силу. - Федеральный закон от 07.12.2011 N 420-ФЗ.;УК РФ
298.1;Клевета в отношении судьи, присяжного заседателя, прокурора, следователя, лица, производящего дознание, судебного пристава;УК РФ
299;Привлечение заведомо невиновного к уголовной ответственности или незаконное возбуждение уголовного дела;УК РФ
300;Незаконное освобождение от уголовной ответственности;УК РФ
301;Незаконные задержание, заключение под стражу или содержание под стражей;УК РФ
302;Принуждение к даче показаний;УК РФ
303;Фальсификация доказательств и результатов оперативно-разыскной деятельности;УК РФ
304;Провокация взятки, коммерческого подкупа либо подкупа в сфере закупок товаров, работ, услуг для обеспечения государственных или муниципальных нужд;УК РФ
305;Вынесение заведомо неправосудных приговора, решения или иного судебного акта;УК РФ
306;Заведомо ложный донос;УК РФ
307;Заведомо ложные показание, заключение эксперта, специалиста или неправильный перевод;УК РФ
308;Отказ свидетеля или потерпевшего от дачи показаний;УК РФ
309;Подкуп или принуждение к даче показаний или уклонению от дачи показаний либо к неправильному переводу;УК РФ
310;Разглашение данных предварительного расследования;УК РФ
311;Разглашение сведений о мерах безопасности, применяемых в отношении судьи и участников уголовного процесса;УК РФ
312;Незаконные действия в отношении имущества, подвергнутого описи или аресту либо подлежащего конфискации;УК РФ
313;Побег из места лишения свободы, из-под ареста или из-под стражи;УК РФ
314;Уклонение от отбывания ограничения свободы, лишения свободы, а также от применения принудительных мер медицинского характера;УК РФ
314.1;Уклонение от административного надзора или неоднократное несоблюдение установленных судом в соответствии с федеральным законом ограничения или ограничений;УК РФ
315;Неисполнение приговора суда, решения суда или иного судебного акта;УК РФ
316;Укрывательство преступлений;УК РФ
317;Посягательство на жизнь сотрудника правоохранительного органа;УК РФ
318;Применение насилия в отношении представителя власти;УК РФ
319;Оскорбление представителя власти;УК РФ
320;Разглашение сведений о мерах безопасности, применяемых в отношении должностного лица правоохранительного или контролирующего органа;УК РФ
321;Дезорганизация деятельности учреждений, обеспечивающих изоляцию от общества;УК РФ
322;Незаконное пересечение Государственной границы Российской Федерации;УК РФ
322.1;Организация незаконной миграции;УК РФ
322.2;Фиктивная регистрация гражданина Российской Федерации по месту пребывания или по месту жительства в жилом помещении в Российской Федерации и фиктивная регистрация иностранного гражданина или лица без гражданства по месту жительства в жилом помещении в Российской Федерации;УК РФ
322.3;Фиктивная постановка на учет иностранного гражданина или лица без гражданства по месту пребывания в Российской Федерации;УК РФ
323;Противоправное изменение Государственной границы Российской Федерации;УК РФ
324;Приобретение или сбыт официальных документов и государственных наград;УК РФ
325;Похищение или повреждение документов, штампов, печатей либо похищение акцизных марок, специальных марок или знаков соответствия;УК РФ
325.1;Неправомерное завладение государственным регистрационным знаком транспортного средства;УК РФ
326;Подделка или уничтожение идентификационного номера транспортного средства;УК РФ
327;Подделка, изготовление или оборот поддельных документов, государственных наград, штампов, печатей или бланков;УК РФ
327.1;Изготовление, сбыт поддельных акцизных марок, специальных марок или знаков соответствия либо их использование;УК РФ
327.2;Подделка документов на лекарственные средства или медицинские изделия или упаковки лекарственных средств или медицинских изделий;УК РФ
328;Уклонение от прохождения военной и альтернативной гражданской службы;УК РФ
329;Надругательство над Государственным гербом Российской Федерации или Государственным флагом Российской Федерации;УК РФ
330;Самоуправство;УК РФ
330.1;Злостное уклонение от исполнения обязанностей, определенных законодательством Российской Федерации о некоммерческих организациях, выполняющих функции иностранного агента;УК РФ
330.2;Неисполнение обязанности по подаче уведомления о наличии у гражданина Российской Федерации гражданства (подданства) иностранного государства либо вида на жительство или иного действительного документа, подтверждающего право на его постоянное проживание в иностранном государстве;УК РФ
331;Понятие преступлений против военной службы;УК РФ
332;Неисполнение приказа;УК РФ
333;Сопротивление начальнику или принуждение его к нарушению обязанностей военной службы;УК РФ
334;Насильственные действия в отношении начальника;УК РФ
335;Нарушение уставных правил взаимоотношений между военнослужащими при отсутствии между ними отношений подчиненности;УК РФ
336;Оскорбление военнослужащего;УК РФ
337;Самовольное оставление части или места службы;УК РФ
338;Дезертирство;УК РФ
339;Уклонение от исполнения обязанностей военной службы путем симуляции болезни или иными способами;УК РФ
340;Нарушение правил несения боевого дежурства;УК РФ
341;Нарушение правил несения пограничной службы;УК РФ
342;Нарушение уставных правил караульной службы;УК РФ
343;Нарушение правил несения службы по охране общественного порядка и обеспечению общественной безопасности;УК РФ
344;Нарушение уставных правил несения внутренней службы и патрулирования в гарнизоне;УК РФ
345;Оставление погибающего военного корабля;УК РФ
346;Умышленные уничтожение или повреждение военного имущества;УК РФ
347;Уничтожение или повреждение военного имущества по неосторожности;УК РФ
348;Утрата военного имущества;УК РФ
349;Нарушение правил обращения с оружием и предметами, представляющими повышенную опасность для окружающих;УК РФ
350;Нарушение правил вождения или эксплуатации машин;УК РФ
351;Нарушение правил полетов или подготовки к ним;УК РФ
352;Нарушение правил кораблевождения;УК РФ
353;Планирование, подготовка, развязывание или ведение агрессивной войны;УК РФ
354;Публичные призывы к развязыванию агрессивной войны;УК РФ
354.1;Реабилитация нацизма;УК РФ
355;Разработка, производство, накопление, приобретение или сбыт оружия массового поражения;УК РФ
356;Применение запрещенных средств и методов ведения войны;УК РФ
357;Геноцид;УК РФ
358;Экоцид;УК РФ
359;Наемничество;УК РФ
360;Нападение на лиц или учреждения, которые пользуются международной защитой;УК РФ
361;Акт международного терроризма;УК РФ
